Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Mikal Bridges,28.0,NYK,SF,63.0,63.0,2386.0,13.3,0.573,0.419,0.079,2.8,6.7,4.8,12.6,1.2,1.4,9.0,18.9,2.5,1.3,3.8,0.077,0.1,-1.1,-1.0,0.6,
2.0,Anthony Edwards,23.0,MIN,SG,63.0,63.0,2296.0,19.6,0.59,0.494,0.303,2.4,15.6,9.1,21.4,1.5,1.5,12.5,31.3,3.2,2.9,6.1,0.127,4.2,-0.2,4.0,3.5,
3.0,Josh Hart,29.0,NYK,SG,60.0,60.0,2276.0,17.1,0.63,0.316,0.285,6.6,22.6,14.7,19.6,1.9,0.9,15.3,15.4,4.8,2.7,7.5,0.159,1.5,1.4,2.9,2.8,
4.0,Jayson Tatum,26.0,BOS,PF,60.0,60.0,2192.0,22.1,0.588,0.502,0.31,2.0,24.4,13.2,26.2,1.5,1.3,11.2,31.1,4.6,3.5,8.1,0.178,4.7,0.9,5.5,4.2,
5.0,Trae Young,26.0,ATL,PG,60.0,60.0,2172.0,17.4,0.557,0.474,0.401,1.3,8.2,4.6,46.5,1.5,0.5,18.3,29.5,2.6,1.0,3.6,0.08,2.5,-2.9,-0.3,0.9,
6.0,Devin Booker,28.0,PHO,SG,58.0,58.0,2170.0,19.9,0.595,0.41,0.363,3.0,8.6,5.9,29.5,1.4,0.6,11.4,29.1,5.1,0.5,5.6,0.124,2.9,-2.2,0.7,1.5,
7.0,De'Aaron Fox,27.0,2TM,PG,60.0,60.0,2166.0,18.3,0.56,0.329,0.276,2.7,11.8,7.2,26.6,2.0,1.1,11.8,28.2,2.6,1.9,4.5,0.099,1.4,-0.9,0.5,1.3,
7.0,De'Aaron Fox,27.0,SAC,PG,45.0,45.0,1663.0,19.0,0.567,0.324,0.279,3.0,12.0,7.5,25.7,1.9,1.2,11.8,28.9,2.3,1.5,3.8,0.108,2.0,-0.8,1.2,1.3,
7.0,De'Aaron Fox,27.0,SAS,PG,15.0,15.0,503.0,16.2,0.535,0.347,0.264,1.5,11.1,6.3,29.6,2.3,0.9,11.5,25.8,0.4,0.4,0.7,0.07,-0.7,-1.2,-2.0,0.0,
8.0,Jalen Brunson,28.0,NYK,PG,61.0,61.0,2162.0,22.1,0.606,0.321,0.373,1.3,8.1,4.8,32.5,1.3,0.3,10.4,29.6,6.9,1.2,8.1,0.179,4.8,-1.5,3.3,2.8,
9.0,Jaden McDaniels,24.0,MIN,PF,66.0,66.0,2149.0,13.6,0.567,0.379,0.158,5.6,14.3,10.0,9.3,2.2,2.4,9.3,16.3,2.2,3.1,5.4,0.12,-1.1,1.4,0.2,1.2,
10.0,Tyler Herro,25.0,MIA,SG,60.0,60.0,2140.0,19.1,0.595,0.529,0.234,1.1,15.3,8.3,27.7,1.1,0.6,11.4,28.1,3.3,2.0,5.3,0.12,3.7,-0.8,2.8,2.6,
11.0,James Harden,35.0,LAC,PG,61.0,61.0,2131.0,18.8,0.566,0.527,0.439,2.1,16.4,9.3,37.3,2.1,1.8,18.7,30.0,1.9,3.2,5.0,0.113,2.7,0.5,3.2,2.8,
12.0,Jalen Green,22.0,HOU,SG,64.0,64.0,2123.0,14.7,0.547,0.466,0.223,1.7,12.6,7.0,14.9,1.2,0.8,11.7,27.0,1.4,2.4,3.8,0.087,1.0,-0.8,0.2,1.2,
13.0,Shai Gilgeous-Alexander,26.0,OKC,PG,62.0,62.0,2122.0,31.1,0.643,0.267,0.414,2.9,12.9,8.0,30.6,2.5,3.1,9.0,34.8,9.9,4.1,14.1,0.318,8.9,2.7,11.6,7.3,
14.0,Cade Cunningham,23.0,DET,PG,60.0,60.0,2118.0,20.1,0.563,0.302,0.25,2.5,16.4,9.5,42.8,1.4,2.0,16.7,32.6,2.5,2.5,5.0,0.112,3.5,-0.1,3.4,2.9,
