Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Kareem Abdul-Jabbar,29,LAL,159.0,159.0,247,0.644,82,36.8,26.2,13.3,3.9,1.2,3.2,0.579,,0.701,17.8,0.283
2,Bill Walton,24,POR,29.0,29.0,247,0.117,65,34.8,18.6,14.4,3.8,1.0,3.2,0.528,,0.697,10.2,0.215
3,Pete Maravich,29,NOJ,15.0,15.0,247,0.061,73,41.7,31.1,5.1,5.4,1.2,0.3,0.433,,0.835,6.4,0.101
4,Bob Lanier,28,DET,11.0,11.0,247,0.045,64,38.2,25.3,11.6,3.3,1.1,2.0,0.534,,0.818,10.3,0.203
5,Julius Erving,26,PHI,7.0,7.0,247,0.028,82,35.9,21.6,8.5,3.7,1.9,1.4,0.499,,0.777,11.5,0.188
6,Moses Malone,21,TOT,6.0,6.0,247,0.024,82,30.6,13.2,13.1,1.1,0.8,2.2,0.48,,0.693,8.7,0.167
7T,Elvin Hayes,31,WSB,5.0,5.0,247,0.02,82,41.0,23.7,12.5,1.9,1.1,2.7,0.501,,0.687,12.1,0.173
7T,David Thompson,22,DEN,5.0,5.0,247,0.02,82,36.6,25.9,4.1,4.1,1.4,0.6,0.507,,0.766,10.7,0.172
9,Maurice Lucas,24,POR,4.0,4.0,247,0.016,79,36.2,20.2,11.4,2.9,1.1,0.7,0.466,,0.765,8.7,0.147
10,Artis Gilmore,27,CHI,2.0,2.0,247,0.008,82,35.1,18.6,13.0,2.4,0.5,2.5,0.522,,0.66,12.2,0.203
11T,George Gervin,24,SAS,1.0,1.0,247,0.004,82,33.0,23.1,5.5,2.9,1.3,1.3,0.544,,0.833,10.5,0.187
11T,George McGinnis,26,PHI,1.0,1.0,247,0.004,79,35.1,21.4,11.5,3.8,2.1,0.5,0.458,,0.681,8.6,0.149
11T,Norm Van Lier,29,CHI,1.0,1.0,247,0.004,82,37.8,10.2,4.5,7.8,1.6,0.2,0.412,,0.778,5.5,0.085
11T,Jo Jo White,30,BOS,1.0,1.0,247,0.004,82,40.6,19.6,4.7,6.0,1.4,0.3,0.429,,0.869,6.5,0.094
1,Bill Walton,25,POR,96.0,96.0,238,0.403,58,33.3,18.9,13.2,5.0,1.0,2.5,0.522,,0.72,8.4,0.209
2,George Gervin,25,SAS,80.5,80.5,238,0.338,82,34.8,27.2,5.1,3.7,1.7,1.3,0.536,,0.83,12.0,0.201
3,David Thompson,23,DEN,28.5,28.5,238,0.12,80,37.8,27.2,4.9,4.5,1.2,1.2,0.521,,0.778,12.7,0.202
4,Kareem Abdul-Jabbar,30,LAL,14.0,14.0,238,0.059,62,36.5,25.8,12.9,4.3,1.7,3.0,0.55,,0.783,12.1,0.257
5,Walter Davis,23,PHO,4.0,4.0,238,0.017,81,32.0,24.2,6.0,3.4,1.4,0.2,0.526,,0.83,10.1,0.187
6T,Maurice Lucas,25,POR,3.0,3.0,238,0.013,68,31.2,16.4,9.1,2.5,0.9,0.8,0.458,,0.767,5.8,0.131
6T,Paul Westphal,27,PHO,3.0,3.0,238,0.013,80,31.0,25.2,2.1,5.5,1.7,0.4,0.516,,0.813,9.8,0.19
8T,Artis Gilmore,28,CHI,2.0,2.0,238,0.008,82,37.4,22.9,13.1,3.2,0.5,2.2,0.559,,0.704,11.5,0.18
8T,Truck Robinson,26,NOJ,2.0,2.0,238,0.008,82,44.4,22.7,15.7,2.1,0.9,1.0,0.444,,0.64,6.5,0.086
10T,Julius Erving,27,PHI,1.0,1.0,238,0.004,74,32.8,20.6,6.5,3.8,1.8,1.3,0.502,,0.845,9.1,0.179
